     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,09/28/2013-10/04/2013,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R001,WHITEHALL STREET              ,00032462,00001219,00000170,00000469,00000231,00014940,00017185,00000000,00000000,00000000,00000235,00000512,00000381,00000442,00001565,00000568,00000166,00000000,00000382,00000000,00000000,00000000,00001473,                                                                                                                               
R003,CYPRESS HILLS                 ,00003739,00000226,00000022,00000033,00000015,00002298,00001360,00000000,00000000,00000000,00000001,00000034,00000073,00000002,00000058,00000013,00000003,00000000,00000018,00000000,00000000,00000000,00000977,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00008916,00000473,00000033,00000127,00000001,00005332,00004532,00000000,00000000,00000000,00000004,00000073,00000177,00000007,00000260,00000015,00000056,00000000,00000070,00000000,00000000,00000000,00004657,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00009980,00000546,00000030,00000130,00000001,00005040,00005629,00000000,00000000,00000000,00000006,00000089,00000217,00000001,00000210,00000040,00000069,00000000,00000140,00000000,00000000,00000000,00002204,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00010304,00000544,00000026,00000177,00000005,00007261,00006527,00000000,00000000,00000000,00000013,00000122,00000161,00000016,00000290,00000052,00000053,00000000,00000073,00000000,00000000,00000000,00001998,                                                                                                                               
R007,104TH STREET                  ,00007051,00000328,00000039,00000081,00000006,00003595,00003446,00000000,00000000,00000000,00000008,00000077,00000104,00000010,00000133,00000029,00000028,00000000,00000038,00000000,00000000,00000000,00001473,                                                                                                                               
R008,111TH STREET                  ,00006443,00000257,00000030,00000055,00000007,00003367,00002960,00000000,00000000,00000000,00000004,00000062,00000093,00000004,00000138,00000049,00000021,00000000,00000054,00000000,00000000,00000000,00002874,                                                                                                                               
R009,121ST STREET                  ,00005617,00000285,00000025,00000087,00000004,00003942,00002829,00000000,00000000,00000000,00000003,00000032,00000070,00000005,00000111,00000037,00000033,00000000,00000057,00000000,00000000,00000000,00000815,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00091362,00004268,00000398,00001108,00000124,00046318,00055914,00000000,00000000,00000000,00000282,00000741,00000919,00000180,00003564,00001107,00000608,00000000,00002142,00000000,00000000,00000000,00002582,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00231204,00010058,00000429,00001482,00000141,00038430,00071996,00000000,00000000,00000000,00000191,00002762,00003050,00000108,00003793,00003817,00000906,00000000,00002121,00000000,00000000,00000000,00001821,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00204394,00008272,00000575,00001444,00005273,00042671,00073457,00000000,00000000,00000001,00000624,00002278,00001934,00007358,00003834,00004564,00001077,00000000,00002469,00000000,00000000,00000000,00002484,                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00052243,00002446,00000170,00000698,00001186,00016388,00033470,00000000,00000000,00000000,00000363,00000692,00000286,00002547,00001485,00001202,00000370,00000000,00000690,00000000,00000000,00000000,00000813,                                                                                                                               
R014,FULTON STREET                 ,00102264,00003462,00000222,00000653,00000837,00029782,00061619,00000000,00000000,00000000,00000528,00001723,00000451,00001831,00004722,00001809,00000811,00000000,00001213,00000000,00000000,00000000,00003690,                                                                                                                               
R015,FIFTH AVENUE                  ,00075355,00002936,00000082,00000346,00001362,00015161,00032819,00000000,00000000,00000000,00000254,00002262,00000258,00001926,00002955,00002375,00000475,00000000,00000897,00000000,00000000,00000000,00000317,                                                                                                                               
R016,LEXINGTON AVENUE              ,00020250,00000988,00000046,00000203,00000117,00005915,00014168,00000000,00000000,00000000,00000103,00000478,00000057,00000129,00001031,00000421,00000214,00000000,00000223,00000000,00000000,00000000,00000239,                                                                                                                               
R017,LEXINGTON AVENUE              ,00103963,00005596,00000225,00000920,00001048,00024090,00063356,00000000,00000000,00000000,00000271,00002367,00000667,00001818,00004422,00002784,00000865,00000000,00001363,00000000,00000000,00000000,00003611,                                                                                                                               
R018,ROOSEVELT AVE/JACKSON HTS     ,00097378,00008237,00000872,00002992,00000039,00063049,00116157,00000000,00000000,00000000,00000115,00000864,00001585,00000083,00004997,00000655,00000571,00000000,00000927,00000000,00000000,00000000,00008293,                                                                                                                               
R019,179TH STREET & HILLSIDE AVE   ,00035812,00002259,00000305,00000956,00000010,00020780,00032277,00000000,00000000,00000000,00000067,00000778,00000714,00000034,00002528,00000433,00000166,00000000,00000161,00000000,00000000,00000000,00004078,                                                                                                                               
R020,47-50 STREETS/ROCKEFELLER     ,00151532,00007513,00000429,00001327,00000788,00048480,00102004,00000000,00000000,00000000,00000623,00003879,00000794,00001018,00008427,00003244,00001265,00000000,00001554,00000000,00000000,00000000,00002826,                                                                                                                               
R021,42ND STREET & 6TH AVENUE      ,00099697,00004939,00000356,00001105,00000157,00036189,00084976,00000000,00000000,00000000,00000464,00003051,00000579,00000192,00006657,00002002,00000932,00000000,00001043,00000000,00000000,00000000,00001426,                                                                                                                               
R022,34TH STREET & 6TH AVENUE      ,00176187,00008720,00000596,00001901,00000783,00073835,00125558,00000000,00000000,00000000,00001762,00002925,00001422,00001135,00007589,00002214,00001227,00000000,00002134,00000000,00000000,00000000,00002915,                                                                                                                               
R023,34TH STREET & 6TH AVENUE      ,00141572,00006169,00000438,00001352,00000663,00037247,00085564,00000000,00000000,00000000,00000293,00002684,00001007,00000952,00004918,00002454,00001047,00000000,00001198,00000000,00000000,00000000,00001925,                                                                                                                               
R024,SUTPHIN BOULEVARD             ,00051064,00002666,00000359,00000841,00000480,00031565,00025826,00000000,00000000,00000000,00000051,00000312,00001032,00000623,00001565,00000474,00000173,00000000,00006270,00000000,00000000,00000000,00002475,                                                                                                                               
R025,JAMAICA CENTER-PARSONS BLVD   ,00068606,00002457,00000618,00001394,00000032,00062826,00046119,00000000,00000000,00000000,00000106,00000468,00001229,00000025,00003767,00000240,00000242,00000000,00000458,00000000,00000000,00000000,00007062,                                                                                                                               
