     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,09/07/2013-09/13/2013,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R001,WHITEHALL STREET              ,00043381,00001620,00000210,00000612,00000238,00019810,00018849,00000000,00000000,00000000,00000320,00000582,00000498,00000478,00001653,00000643,00000182,00000000,00000961,00000000,00000000,00000000,00001115,                                                                                                                               
R003,CYPRESS HILLS                 ,00004051,00000243,00000033,00000019,00000015,00002195,00001299,00000001,00000000,00000000,00000002,00000039,00000083,00000005,00000063,00000014,00000002,00000000,00000010,00000000,00000000,00000000,00000727,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00009925,00000440,00000038,00000128,00000003,00005148,00004259,00000000,00000000,00000000,00000006,00000070,00000177,00000010,00000259,00000023,00000052,00000000,00000086,00000000,00000000,00000000,00003324,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00010445,00000539,00000036,00000131,00000000,00005022,00005218,00000000,00000000,00000000,00000000,00000084,00000158,00000000,00000195,00000048,00000065,00000000,00000096,00000000,00000000,00000000,00001616,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00010672,00000548,00000036,00000175,00000005,00006750,00006117,00000000,00000000,00000000,00000006,00000098,00000159,00000012,00000260,00000062,00000051,00000000,00000087,00000000,00000000,00000000,00001489,                                                                                                                               
R007,104TH STREET                  ,00007402,00000322,00000040,00000075,00000009,00003438,00003223,00000000,00000000,00000000,00000002,00000058,00000087,00000010,00000148,00000025,00000023,00000000,00000061,00000000,00000000,00000000,00000993,                                                                                                                               
R008,111TH STREET                  ,00006735,00000281,00000026,00000044,00000003,00003121,00002690,00000000,00000000,00000000,00000003,00000044,00000091,00000005,00000146,00000041,00000019,00000000,00000064,00000000,00000000,00000000,00002611,                                                                                                                               
R009,121ST STREET                  ,00005675,00000273,00000028,00000054,00000008,00003501,00002606,00000000,00000000,00000000,00000002,00000048,00000076,00000003,00000119,00000025,00000026,00000000,00000062,00000000,00000000,00000000,00000586,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00090548,00004006,00000312,00001101,00000153,00047439,00053256,00000000,00000000,00000000,00000280,00000736,00000846,00000182,00003445,00001062,00000580,00000000,00002453,00000000,00000000,00000000,00001664,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00231773,00009951,00000415,00001477,00000134,00040134,00070017,00000000,00000000,00000000,00000183,00002713,00002771,00000124,00003754,00003729,00000939,00000000,00002335,00000000,00000000,00000000,00001034,                                                                                                                               
