     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,08/31/2013-09/06/2013,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R001,WHITEHALL STREET              ,00044092,00001458,00000187,00000543,00000162,00018833,00015691,00000000,00000001,00000000,00000228,00000428,00000482,00000310,00001296,00000479,00000163,00000000,00001001,00000000,00000000,00000000,00000031,                                                                                                                               
R003,CYPRESS HILLS                 ,00003435,00000201,00000033,00000025,00000004,00001787,00001002,00000000,00000000,00000000,00000002,00000024,00000049,00000001,00000052,00000012,00000002,00000000,00000020,00000000,00000000,00000000,00000012,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00008584,00000395,00000020,00000115,00000002,00004415,00003810,00000000,00000000,00000000,00000001,00000067,00000169,00000006,00000229,00000017,00000046,00000000,00000093,00000000,00000000,00000000,00000051,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00009348,00000501,00000040,00000109,00000000,00004299,00004463,00000000,00000000,00000000,00000003,00000073,00000165,00000000,00000185,00000045,00000061,00000000,00000071,00000000,00000000,00000000,00000066,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00009148,00000489,00000026,00000142,00000006,00005804,00005092,00000000,00000000,00000000,00000006,00000066,00000184,00000012,00000237,00000033,00000036,00000000,00000076,00000000,00000000,00000000,00000073,                                                                                                                               
R007,104TH STREET                  ,00006445,00000320,00000034,00000065,00000005,00002984,00002739,00000000,00000000,00000000,00000001,00000047,00000061,00000007,00000098,00000017,00000018,00000000,00000051,00000000,00000000,00000000,00000046,                                                                                                                               
R008,111TH STREET                  ,00005823,00000247,00000015,00000044,00000002,00002739,00002224,00000000,00000000,00000000,00000002,00000033,00000107,00000005,00000119,00000018,00000014,00000000,00000053,00000000,00000000,00000000,00000176,                                                                                                                               
R009,121ST STREET                  ,00005274,00000229,00000025,00000066,00000003,00003143,00002315,00000000,00000000,00000000,00000001,00000035,00000075,00000002,00000105,00000020,00000024,00000000,00000057,00000000,00000000,00000000,00000025,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00093748,00003590,00000318,00001058,00000095,00045659,00046504,00000000,00000000,00000001,00000215,00000658,00000834,00000156,00003010,00000883,00000495,00000000,00002471,00000000,00000000,00000000,00000141,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00207450,00008971,00000459,00001340,00000114,00037310,00061027,00000000,00000000,00000000,00000181,00002104,00002759,00000098,00003396,00002847,00000723,00000000,00002281,00000000,00000000,00000000,00000083,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00172674,00006186,00000437,00001231,00004012,00035348,00058856,00000000,00000000,00000000,00000361,00001736,00001504,00005445,00003357,00003298,00000829,00000000,00002446,00000000,00000000,00000000,00000114,                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00043266,00001904,00000137,00000598,00000852,00014706,00025589,00000000,00000000,00000000,00000216,00000525,00000199,00001876,00001196,00000866,00000268,00000000,00000775,00000000,00000000,00000000,00000026,                                                                                                                               
R014,FULTON STREET                 ,00090289,00002535,00000169,00000501,00000780,00026287,00047410,00000000,00000000,00000000,00000344,00001256,00000353,00001340,00003751,00001424,00000665,00000000,00001411,00000000,00000000,00000000,00000131,                                                                                                                               
R015,FIFTH AVENUE                  ,00056821,00001847,00000056,00000263,00001071,00012299,00023284,00000000,00000000,00000000,00000154,00001647,00000128,00001440,00002207,00001603,00000340,00000000,00000907,00000000,00000000,00000000,00000062,                                                                                                                               
R016,LEXINGTON AVENUE              ,00016397,00000699,00000037,00000144,00000085,00004923,00010563,00000000,00000000,00000000,00000069,00000316,00000058,00000101,00000826,00000283,00000156,00000000,00000243,00000000,00000000,00000000,00000037,                                                                                                                               
